,Date,Volume_kbbld_gas
0,2022-04-01,8754
1,2022-03-01,8856
2,2022-02-01,8598
3,2022-01-01,7982
4,2021-12-01,8949
5,2021-11-01,8989
6,2021-10-01,8949
7,2021-09-01,8966
8,2021-08-01,9111
9,2021-07-01,9313
10,2021-06-01,9273
11,2021-05-01,9137
12,2021-04-01,8791
13,2021-03-01,8577
14,2021-02-01,7744
15,2021-01-01,7666
16,2020-12-01,7855
17,2020-11-01,8001
18,2020-10-01,8316
19,2020-09-01,8541
20,2020-08-01,8524
21,2020-07-01,8460
22,2020-06-01,8292
23,2020-05-01,7198
24,2020-04-01,5866
25,2020-03-01,7779
26,2020-02-01,9050
27,2020-01-01,8724
28,2019-12-01,8971
29,2019-11-01,9209
30,2019-10-01,9308
31,2019-09-01,9198
32,2019-08-01,9834
33,2019-07-01,9533
34,2019-06-01,9703
35,2019-05-01,9497
36,2019-04-01,9411
37,2019-03-01,9184
38,2019-02-01,9072
39,2019-01-01,8778
40,2018-12-01,9179
41,2018-11-01,9290
42,2018-10-01,9294
43,2018-09-01,9153
44,2018-08-01,9778
45,2018-07-01,9640
46,2018-06-01,9797
47,2018-05-01,9515
48,2018-04-01,9206
49,2018-03-01,9465
50,2018-02-01,8796
51,2018-01-01,8788
52,2017-12-01,9247
53,2017-11-01,9110
54,2017-10-01,9357
55,2017-09-01,9378
56,2017-08-01,9752
57,2017-07-01,9595
58,2017-06-01,9772
59,2017-05-01,9550
60,2017-04-01,9295
61,2017-03-01,9325
62,2017-02-01,9008
63,2017-01-01,8507
64,2016-12-01,9283
65,2016-11-01,9233
66,2016-10-01,9093
67,2016-09-01,9484
68,2016-08-01,9687
69,2016-07-01,9578
70,2016-06-01,9608
71,2016-05-01,9417
72,2016-04-01,9176
73,2016-03-01,9373
74,2016-02-01,9221
75,2016-01-01,8653
76,2015-12-01,9148
77,2015-11-01,9112
78,2015-10-01,9245
79,2015-09-01,9289
80,2015-08-01,9460
81,2015-07-01,9470
82,2015-06-01,9417
83,2015-05-01,9262
84,2015-04-01,9189
85,2015-03-01,9057
86,2015-02-01,8829
87,2015-01-01,8639
88,2014-12-01,8941
89,2014-11-01,8921
90,2014-10-01,9148
91,2014-09-01,8822
92,2014-08-01,9311
93,2014-07-01,9249
94,2014-06-01,9039
95,2014-05-01,9023
96,2014-04-01,8955
97,2014-03-01,8697
98,2014-02-01,8647
99,2014-01-01,8273
100,2013-12-01,8670
101,2013-11-01,8923
102,2013-10-01,8944
103,2013-09-01,8946
104,2013-08-01,9124
105,2013-07-01,9146
106,2013-06-01,9078
107,2013-05-01,9033
108,2013-04-01,8855
109,2013-03-01,8641
110,2013-02-01,8395
111,2013-01-01,8331
112,2012-12-01,8389
113,2012-11-01,8483
114,2012-10-01,8701
115,2012-09-01,8561
116,2012-08-01,9154
117,2012-07-01,8810
118,2012-06-01,8996
119,2012-05-01,8979
120,2012-04-01,8741
121,2012-03-01,8582
122,2012-02-01,8598
123,2012-01-01,8190
124,2011-12-01,8683
125,2011-11-01,8537
126,2011-10-01,8649
127,2011-09-01,8744
128,2011-08-01,8925
129,2011-07-01,9031
130,2011-06-01,9067
131,2011-05-01,8817
132,2011-04-01,8796
133,2011-03-01,8799
134,2011-02-01,8604
135,2011-01-01,8370
136,2010-12-01,8911
137,2010-11-01,8816
138,2010-10-01,9016
139,2010-09-01,9112
140,2010-08-01,9255
141,2010-07-01,9301
142,2010-06-01,9311
143,2010-05-01,9162
144,2010-04-01,9108
145,2010-03-01,8793
146,2010-02-01,8579
147,2010-01-01,8520
148,2009-12-01,8931
149,2009-11-01,8906
150,2009-10-01,8986
151,2009-09-01,8911
152,2009-08-01,9295
153,2009-07-01,9260
154,2009-06-01,9180
155,2009-05-01,9084
156,2009-04-01,9029
157,2009-03-01,8903
158,2009-02-01,8836
159,2009-01-01,8623
160,2008-12-01,8927
161,2008-11-01,8904
162,2008-10-01,9024
163,2008-09-01,8497
164,2008-08-01,9134
165,2008-07-01,9150
166,2008-06-01,9110
167,2008-05-01,9251
168,2008-04-01,9112
169,2008-03-01,9066
170,2008-02-01,8866
171,2008-01-01,8810
172,2007-12-01,9251
173,2007-11-01,9229
174,2007-10-01,9236
175,2007-09-01,9254
176,2007-08-01,9582
177,2007-07-01,9640
178,2007-06-01,9491
179,2007-05-01,9434
180,2007-04-01,9215
181,2007-03-01,9178
182,2007-02-01,9006
183,2007-01-01,8886
184,2006-12-01,9338
185,2006-11-01,9244
186,2006-10-01,9267
187,2006-09-01,9236
188,2006-08-01,9564
189,2006-07-01,9607
190,2006-06-01,9478
191,2006-05-01,9308
192,2006-04-01,9154
193,2006-03-01,9054
194,2006-02-01,8911
195,2006-01-01,8839
196,2005-12-01,9296
197,2005-11-01,9115
198,2005-10-01,9036
199,2005-09-01,8915
200,2005-08-01,9537
201,2005-07-01,9534
202,2005-06-01,9373
203,2005-05-01,9278
204,2005-04-01,9128
205,2005-03-01,8994
206,2005-02-01,8861
207,2005-01-01,8813
208,2004-12-01,9206
209,2004-11-01,9055
210,2004-10-01,9097
211,2004-09-01,9015
212,2004-08-01,9327
213,2004-07-01,9357
214,2004-06-01,9322
215,2004-05-01,9179
216,2004-04-01,9126
217,2004-03-01,9024
218,2004-02-01,8838
219,2004-01-01,8705
220,2003-12-01,9011
221,2003-11-01,8946
222,2003-10-01,9108
223,2003-09-01,8926
224,2003-08-01,9411
225,2003-07-01,9192
226,2003-06-01,9170
227,2003-05-01,9042
228,2003-04-01,8838
229,2003-03-01,8602
230,2003-02-01,8525
