,Date,Volume_kbbld_jet
0,2022-04-01,1537
1,2022-03-01,1523
2,2022-02-01,1402
3,2022-01-01,1423
4,2021-12-01,1525
5,2021-11-01,1500
6,2021-10-01,1441
7,2021-09-01,1499
8,2021-08-01,1578
9,2021-07-01,1490
10,2021-06-01,1425
11,2021-05-01,1318
12,2021-04-01,1279
13,2021-03-01,1158
14,2021-02-01,1092
15,2021-01-01,1131
16,2020-12-01,1148
17,2020-11-01,1130
18,2020-10-01,1006
19,2020-09-01,921
20,2020-08-01,1016
21,2020-07-01,968
22,2020-06-01,784
23,2020-05-01,597
24,2020-04-01,678
25,2020-03-01,1388
26,2020-02-01,1619
27,2020-01-01,1673
28,2019-12-01,1809
29,2019-11-01,1711
30,2019-10-01,1727
31,2019-09-01,1702
32,2019-08-01,1841
33,2019-07-01,1847
34,2019-06-01,1802
35,2019-05-01,1773
36,2019-04-01,1756
37,2019-03-01,1711
38,2019-02-01,1607
39,2019-01-01,1621
40,2018-12-01,1676
41,2018-11-01,1756
42,2018-10-01,1675
43,2018-09-01,1704
44,2018-08-01,1858
45,2018-07-01,1773
46,2018-06-01,1857
47,2018-05-01,1685
48,2018-04-01,1630
49,2018-03-01,1706
50,2018-02-01,1590
51,2018-01-01,1568
52,2017-12-01,1756
53,2017-11-01,1685
54,2017-10-01,1751
55,2017-09-01,1627
56,2017-08-01,1762
57,2017-07-01,1734
58,2017-06-01,1762
59,2017-05-01,1669
60,2017-04-01,1644
61,2017-03-01,1676
62,2017-02-01,1517
63,2017-01-01,1588
64,2016-12-01,1653
65,2016-11-01,1632
66,2016-10-01,1610
67,2016-09-01,1635
68,2016-08-01,1722
69,2016-07-01,1720
70,2016-06-01,1723
71,2016-05-01,1578
72,2016-04-01,1566
73,2016-03-01,1547
74,2016-02-01,1534
75,2016-01-01,1449
76,2015-12-01,1578
77,2015-11-01,1524
78,2015-10-01,1614
79,2015-09-01,1534
80,2015-08-01,1601
81,2015-07-01,1650
82,2015-06-01,1654
83,2015-05-01,1519
84,2015-04-01,1527
85,2015-03-01,1548
86,2015-02-01,1445
87,2015-01-01,1375
88,2014-12-01,1537
89,2014-11-01,1476
90,2014-10-01,1479
91,2014-09-01,1482
92,2014-08-01,1522
93,2014-07-01,1559
94,2014-06-01,1544
95,2014-05-01,1400
96,2014-04-01,1455
97,2014-03-01,1433
98,2014-02-01,1380
99,2014-01-01,1364
100,2013-12-01,1428
101,2013-11-01,1429
102,2013-10-01,1455
103,2013-09-01,1417
104,2013-08-01,1524
105,2013-07-01,1546
106,2013-06-01,1454
107,2013-05-01,1459
108,2013-04-01,1444
109,2013-03-01,1393
110,2013-02-01,1344
111,2013-01-01,1311
112,2012-12-01,1381
113,2012-11-01,1381
114,2012-10-01,1353
115,2012-09-01,1378
116,2012-08-01,1470
117,2012-07-01,1468
118,2012-06-01,1546
119,2012-05-01,1409
120,2012-04-01,1350
121,2012-03-01,1381
122,2012-02-01,1351
123,2012-01-01,1308
124,2011-12-01,1353
125,2011-11-01,1416
126,2011-10-01,1384
127,2011-09-01,1416
128,2011-08-01,1554
129,2011-07-01,1473
130,2011-06-01,1540
131,2011-05-01,1424
132,2011-04-01,1457
133,2011-03-01,1385
134,2011-02-01,1352
135,2011-01-01,1346
136,2010-12-01,1383
137,2010-11-01,1396
138,2010-10-01,1430
139,2010-09-01,1457
140,2010-08-01,1486
141,2010-07-01,1494
142,2010-06-01,1543
143,2010-05-01,1446
144,2010-04-01,1410
145,2010-03-01,1443
146,2010-02-01,1343
147,2010-01-01,1344
148,2009-12-01,1372
149,2009-11-01,1352
150,2009-10-01,1362
151,2009-09-01,1414
152,2009-08-01,1449
153,2009-07-01,1506
154,2009-06-01,1425
155,2009-05-01,1329
156,2009-04-01,1432
157,2009-03-01,1406
158,2009-02-01,1356
159,2009-01-01,1312
160,2008-12-01,1395
161,2008-11-01,1440
162,2008-10-01,1417
163,2008-09-01,1478
164,2008-08-01,1639
165,2008-07-01,1574
166,2008-06-01,1623
167,2008-05-01,1590
168,2008-04-01,1622
169,2008-03-01,1552
170,2008-02-01,1553
171,2008-01-01,1581
172,2007-12-01,1603
173,2007-11-01,1600
174,2007-10-01,1637
175,2007-09-01,1533
176,2007-08-01,1703
177,2007-07-01,1664
178,2007-06-01,1663
179,2007-05-01,1618
180,2007-04-01,1647
181,2007-03-01,1551
182,2007-02-01,1634
183,2007-01-01,1616
184,2006-12-01,1631
185,2006-11-01,1613
186,2006-10-01,1605
187,2006-09-01,1608
188,2006-08-01,1696
189,2006-07-01,1700
190,2006-06-01,1704
191,2006-05-01,1633
192,2006-04-01,1654
193,2006-03-01,1560
194,2006-02-01,1582
195,2006-01-01,1605
196,2005-12-01,1756
197,2005-11-01,1619
198,2005-10-01,1655
199,2005-09-01,1670
200,2005-08-01,1743
201,2005-07-01,1725
202,2005-06-01,1689
203,2005-05-01,1674
204,2005-04-01,1614
205,2005-03-01,1726
206,2005-02-01,1743
207,2005-01-01,1536
208,2004-12-01,1645
209,2004-11-01,1704
