,Date,Volume_kbbld_gas,Volume_kbbld_jet
0,2022-04-01,8754,1537
1,2022-03-01,8856,1523
2,2022-02-01,8598,1402
3,2022-01-01,7982,1423
4,2021-12-01,8949,1525
5,2021-11-01,8989,1500
6,2021-10-01,8949,1441
7,2021-09-01,8966,1499
8,2021-08-01,9111,1578
9,2021-07-01,9313,1490
10,2021-06-01,9273,1425
11,2021-05-01,9137,1318
12,2021-04-01,8791,1279
13,2021-03-01,8577,1158
14,2021-02-01,7744,1092
15,2021-01-01,7666,1131
16,2020-12-01,7855,1148
17,2020-11-01,8001,1130
18,2020-10-01,8316,1006
19,2020-09-01,8541,921
20,2020-08-01,8524,1016
21,2020-07-01,8460,968
22,2020-06-01,8292,784
23,2020-05-01,7198,597
24,2020-04-01,5866,678
25,2020-03-01,7779,1388
26,2020-02-01,9050,1619
27,2020-01-01,8724,1673
28,2019-12-01,8971,1809
29,2019-11-01,9209,1711
30,2019-10-01,9308,1727
31,2019-09-01,9198,1702
32,2019-08-01,9834,1841
33,2019-07-01,9533,1847
34,2019-06-01,9703,1802
35,2019-05-01,9497,1773
36,2019-04-01,9411,1756
37,2019-03-01,9184,1711
38,2019-02-01,9072,1607
39,2019-01-01,8778,1621
40,2018-12-01,9179,1676
41,2018-11-01,9290,1756
42,2018-10-01,9294,1675
43,2018-09-01,9153,1704
44,2018-08-01,9778,1858
45,2018-07-01,9640,1773
46,2018-06-01,9797,1857
47,2018-05-01,9515,1685
48,2018-04-01,9206,1630
49,2018-03-01,9465,1706
50,2018-02-01,8796,1590
51,2018-01-01,8788,1568
52,2017-12-01,9247,1756
53,2017-11-01,9110,1685
54,2017-10-01,9357,1751
55,2017-09-01,9378,1627
56,2017-08-01,9752,1762
57,2017-07-01,9595,1734
58,2017-06-01,9772,1762
59,2017-05-01,9550,1669
60,2017-04-01,9295,1644
61,2017-03-01,9325,1676
62,2017-02-01,9008,1517
63,2017-01-01,8507,1588
64,2016-12-01,9283,1653
65,2016-11-01,9233,1632
66,2016-10-01,9093,1610
67,2016-09-01,9484,1635
68,2016-08-01,9687,1722
69,2016-07-01,9578,1720
70,2016-06-01,9608,1723
71,2016-05-01,9417,1578
72,2016-04-01,9176,1566
73,2016-03-01,9373,1547
74,2016-02-01,9221,1534
75,2016-01-01,8653,1449
76,2015-12-01,9148,1578
77,2015-11-01,9112,1524
78,2015-10-01,9245,1614
79,2015-09-01,9289,1534
80,2015-08-01,9460,1601
81,2015-07-01,9470,1650
82,2015-06-01,9417,1654
83,2015-05-01,9262,1519
84,2015-04-01,9189,1527
85,2015-03-01,9057,1548
86,2015-02-01,8829,1445
87,2015-01-01,8639,1375
88,2014-12-01,8941,1537
89,2014-11-01,8921,1476
90,2014-10-01,9148,1479
91,2014-09-01,8822,1482
92,2014-08-01,9311,1522
93,2014-07-01,9249,1559
94,2014-06-01,9039,1544
95,2014-05-01,9023,1400
96,2014-04-01,8955,1455
97,2014-03-01,8697,1433
98,2014-02-01,8647,1380
99,2014-01-01,8273,1364
100,2013-12-01,8670,1428
101,2013-11-01,8923,1429
102,2013-10-01,8944,1455
103,2013-09-01,8946,1417
104,2013-08-01,9124,1524
105,2013-07-01,9146,1546
106,2013-06-01,9078,1454
107,2013-05-01,9033,1459
108,2013-04-01,8855,1444
109,2013-03-01,8641,1393
110,2013-02-01,8395,1344
111,2013-01-01,8331,1311
112,2012-12-01,8389,1381
113,2012-11-01,8483,1381
114,2012-10-01,8701,1353
115,2012-09-01,8561,1378
116,2012-08-01,9154,1470
117,2012-07-01,8810,1468
118,2012-06-01,8996,1546
119,2012-05-01,8979,1409
